2016-06-02 09:35:25,065 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: MongoTest:MongoTest:0.0.1-SNAPSHOT @ C:\Users\206-001\Documents\MongoDB\MongoTest\pom.xml.
2016-06-02 09:35:26,639 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:35:26,644 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-02 09:35:26,646 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:35:26,647 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-02 09:35:26,673 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MongoTest/src/main/java
2016-06-02 09:35:26,674 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MongoTest/src/main/resources
2016-06-02 09:35:26,681 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MongoTest/src/test/java
2016-06-02 09:35:26,681 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MongoTest/src/test/resources
2016-06-02 09:35:27,111 [Worker-14] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-06-02 09:35:27,752 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: MongoTest:MongoTest:0.0.1-SNAPSHOT @ C:\Users\206-001\Documents\MongoDB\MongoTest\pom.xml.
2016-06-02 09:35:28,641 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:35:28,644 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-02 09:35:28,647 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:35:28,649 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-02 09:35:28,650 [Worker-12] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of MongoTest
2016-06-02 09:35:28,662 [Worker-12] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for MongoTest
2016-06-02 09:35:28,777 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:35:28,811 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MongoTest/src/main/java
2016-06-02 09:35:28,811 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MongoTest/src/main/resources
2016-06-02 09:35:28,820 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MongoTest/src/test/java
2016-06-02 09:35:28,821 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MongoTest/src/test/resources
2016-06-02 09:35:29,099 [Worker-14] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for MongoTest
2016-06-02 09:35:29,120 [Worker-14] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2016-06-02 09:35:29,963 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:35:29,964 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-02 09:35:29,964 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:35:29,965 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-02 09:35:29,965 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of MongoTest
2016-06-02 09:35:29,965 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for MongoTest
2016-06-02 09:35:29,969 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:39:40,956 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: MongoTest:MongoTest:0.0.1-SNAPSHOT @ C:\Users\206-001\Documents\MongoDB\MongoTest\pom.xml.
2016-06-02 09:39:41,859 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/mongodb/mongo-java-driver/3.2.2/mongo-java-driver-3.2.2.pom
2016-06-02 09:39:42,033 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/mongodb/mongo-java-driver/3.2.2/mongo-java-driver-3.2.2.pom
2016-06-02 09:39:42,204 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/data/spring-data-mongodb/1.9.1.RELEASE/spring-data-mongodb-1.9.1.RELEASE.pom
2016-06-02 09:39:42,368 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/data/spring-data-mongodb/1.9.1.RELEASE/spring-data-mongodb-1.9.1.RELEASE.pom
2016-06-02 09:39:42,538 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/data/spring-data-mongodb-parent/1.9.1.RELEASE/spring-data-mongodb-parent-1.9.1.RELEASE.pom
2016-06-02 09:39:42,713 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/data/spring-data-mongodb-parent/1.9.1.RELEASE/spring-data-mongodb-parent-1.9.1.RELEASE.pom
2016-06-02 09:39:43,014 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/mongodb/mongo-java-driver/2.14.0/mongo-java-driver-2.14.0.pom
2016-06-02 09:39:43,192 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/mongodb/mongo-java-driver/2.14.0/mongo-java-driver-2.14.0.pom
2016-06-02 09:39:43,564 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/mongodb/mongo-java-driver/3.2.2/mongo-java-driver-3.2.2.jar
2016-06-02 09:39:45,716 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/mongodb/mongo-java-driver/3.2.2/mongo-java-driver-3.2.2.jar
2016-06-02 09:39:45,875 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/data/spring-data-mongodb/1.9.1.RELEASE/spring-data-mongodb-1.9.1.RELEASE.jar
2016-06-02 09:39:46,673 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/data/spring-data-mongodb/1.9.1.RELEASE/spring-data-mongodb-1.9.1.RELEASE.jar
2016-06-02 09:39:48,318 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:39:48,320 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-02 09:39:48,322 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:39:48,322 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-02 09:39:48,323 [Worker-15] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of MongoTest
2016-06-02 09:39:48,323 [Worker-15] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for MongoTest
2016-06-02 09:39:48,326 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:39:49,619 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/mongodb/mongo-java-driver/3.2.2/mongo-java-driver-3.2.2-javadoc.jar
2016-06-02 09:39:51,864 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/mongodb/mongo-java-driver/3.2.2/mongo-java-driver-3.2.2-javadoc.jar
2016-06-02 09:39:52,175 [Worker-18] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded javadoc for org.mongodb:mongo-java-driver:3.2.2
